version,aim_sigma_sum,contact,fair,familiar,pitch,quality_sum,rating,swings,timing_miss,trials,x
before,18.1454357599871,75,69,mixed,pitch.sidearm_sinker,34.3920044224078,8,80,0,96,0.35
before,30.72,6,3,fresh,pitch.sidearm_sinker,0.95764314804052,3,11,0,96,0.85
before,26.7327994938528,6,4,repeat,pitch.sidearm_sinker,1.60856650875102,3,10,0,96,0.85
before,30.72,6,3,mixed,pitch.sidearm_sinker,0.95764314804052,3,11,0,96,0.85
before,30.7042769219773,7,3,fresh,pitch.sidearm_sinker,1.34066994417212,5,11,0,96,0.85
before,24.0444013528789,6,6,repeat,pitch.sidearm_sinker,2.31263891418883,5,10,0,96,0.85
before,30.4827949599475,8,3,mixed,pitch.sidearm_sinker,1.38315620781001,5,11,0,96,0.85
before,28.9197065908828,9,8,fresh,pitch.sidearm_sinker,2.42940842706055,8,11,0,96,0.85
before,20.0195086467695,9,8,repeat,pitch.sidearm_sinker,4.03335824936598,8,9,0,96,0.85
before,27.9290850739154,9,8,mixed,pitch.sidearm_sinker,2.66425599024731,8,10,0,96,0.85
before,30.6949085664828,6,4,fresh,pitch.overhand_slider,1.18113984466749,3,12,0,96,-0.85
before,26.2999144658961,6,6,repeat,pitch.overhand_slider,2.17195809220553,3,11,0,96,-0.85
before,30.4815555478684,6,4,mixed,pitch.overhand_slider,1.22919857757425,3,12,0,96,-0.85
before,29.8608236643635,7,4,fresh,pitch.overhand_slider,1.74362152418232,5,12,0,96,-0.85
before,23.7426808401327,9,7,repeat,pitch.overhand_slider,3.25991992459839,5,11,0,96,-0.85
before,29.2921857043637,7,5,mixed,pitch.overhand_slider,1.92078921258555,5,12,0,96,-0.85
before,27.8666291147563,7,7,fresh,pitch.overhand_slider,2.82873728040105,8,12,0,96,-0.85
before,19.6985305409513,11,11,repeat,pitch.overhand_slider,5.35853271816998,8,11,0,96,-0.85
before,27.2492435617575,8,7,mixed,pitch.overhand_slider,3.03513672199201,8,12,0,96,-0.85
before,26.9795180972119,24,19,fresh,pitch.overhand_slider,7.93564119991422,3,58,0,96,-0.35
before,19.0525380838679,38,29,repeat,pitch.overhand_slider,14.3304317648879,3,61,0,96,-0.35
before,25.9023974144218,29,21,mixed,pitch.overhand_slider,9.28653217632285,3,59,0,96,-0.35
before,24.2883197826205,42,30,fresh,pitch.overhand_slider,12.7047471240549,5,58,0,96,-0.35
before,16.365114843253,50,43,repeat,pitch.overhand_slider,21.0887165397331,5,61,0,96,-0.35
before,23.2108573640164,44,33,mixed,pitch.overhand_slider,14.4201024689257,5,59,0,96,-0.35
before,20.2413356374683,50,47,fresh,pitch.overhand_slider,21.832295297558,8,58,0,96,-0.35
before,12.3426200786023,60,56,repeat,pitch.overhand_slider,31.8184701577866,8,60,0,96,-0.35
before,19.1647079314015,52,48,mixed,pitch.overhand_slider,23.6852298617274,8,59,0,96,-0.35
before,24.9774618695735,46,35,fresh,pitch.overhand_slider,15.5103457667311,3,86,0,96,0.0
before,17.4866494764462,63,52,repeat,pitch.overhand_slider,24.8791205721313,3,92,0,96,0.0
before,23.5769820501624,49,36,mixed,pitch.overhand_slider,16.8022310639776,3,86,0,96,0.0
before,22.2784252903148,68,50,fresh,pitch.overhand_slider,22.9363958588376,5,86,0,96,0.0
before,14.7446843573764,81,69,repeat,pitch.overhand_slider,35.0606508604432,5,92,0,96,0.0
before,20.8828637943652,70,50,mixed,pitch.overhand_slider,24.300321828031,5,86,0,96,0.0
before,18.2309074332332,78,71,fresh,pitch.overhand_slider,34.8778703756918,8,84,0,96,0.0
before,10.8046173327004,91,89,repeat,pitch.overhand_slider,52.1139989327315,8,92,0,96,0.0
before,16.862102708521,82,77,mixed,pitch.overhand_slider,38.5073626438549,8,86,0,96,0.0
before,26.9795180972119,28,19,fresh,pitch.overhand_slider,8.50951713467735,3,58,0,96,0.35
before,19.0525380838679,38,30,repeat,pitch.overhand_slider,14.1986767758536,3,61,0,96,0.35
before,25.7960741943285,30,23,mixed,pitch.overhand_slider,9.64610171241048,3,59,0,96,0.35
before,24.2883197826204,39,31,fresh,pitch.overhand_slider,13.2638780825159,5,58,0,96,0.35
before,16.365114843253,52,41,repeat,pitch.overhand_slider,20.8630733456782,5,61,0,96,0.35
before,23.1046175676413,40,34,mixed,pitch.overhand_slider,14.5167957452523,5,59,0,96,0.35
before,20.2413356374683,50,45,fresh,pitch.overhand_slider,21.489614456448,8,58,0,96,0.35
before,12.3426200786023,59,57,repeat,pitch.overhand_slider,32.432870843008,8,60,0,96,0.35
before,19.0776837139408,53,50,mixed,pitch.overhand_slider,23.2756205485931,8,59,0,96,0.35
before,30.6949085664828,4,3,fresh,pitch.overhand_slider,0.8628350884769,3,12,0,96,0.85
before,26.2999144658962,6,5,repeat,pitch.overhand_slider,1.77434153545645,3,11,0,96,0.85
before,30.4815555478684,4,3,mixed,pitch.overhand_slider,0.874467361379887,3,12,0,96,0.85
